Variable,Python,R,Difference,Abs_Difference
LSTAT,0.0547342138116827,0.0919350682813708,-0.0372008544696881,0.0372008544696881
DIS,0.05946514225639,0.0911620716310229,-0.0316969293746329,0.0316969293746329
RM,0.0655759248308036,0.090646740530791,-0.025070815699987398,0.025070815699987398
NOX,0.0509888954596228,0.071373357382118,-0.020384461922495205,0.020384461922495205
INDUS,0.065773046849333,0.0464313321308941,0.019341714718438895,0.019341714718438895
AGE,0.0603850450095275,0.0424117495490853,0.017973295460442205,0.017973295460442205
ZN,0.0615020697811945,0.0442669415099201,0.017235128271274394,0.017235128271274394
RAD,0.0618963138182535,0.0475650605514043,0.014331253266849198,0.014331253266849198
LAT,0.0563768972994283,0.0439062097397578,0.012470687559670499,0.012470687559670499
TRACT,0.0655759248308036,0.0543674310744653,0.011208493756338297,0.011208493756338297
CHAS,0.0597279716144293,0.070548827621747,-0.010820856007317699,0.010820856007317699
TAX,0.0609107037256061,0.051017778922958,0.009892924802648098,0.009892924802648098
LON,0.0545370917931532,0.0450914712702912,0.009445620522861999,0.009445620522861999
B,0.0560483606018792,0.0495233187322855,0.006525041869593698,0.006525041869593698
PTRATIO,0.0626190945528615,0.0579747487760886,0.004644345776772904,0.004644345776772904
TOWNNO,0.0491490899533477,0.0445761401700593,0.004572949783288399,0.004572949783288399
CRIM,0.0547342138116827,0.0572017521257408,-0.002467538314058104,0.002467538314058104
