variable,Python,R,Difference,Abs_Difference
TOWNNO,0.0579285877526145,0.0614421932112705,-0.003513605458655998,0.003513605458655998
TRACT,0.0605622000457073,0.0910216873197675,-0.03045948727406019,0.03045948727406019
LON,0.0589189130363808,0.0493234832325178,0.009595429803863,0.009595429803863
LAT,0.0582877167016726,0.0412540738006918,0.0170336429009808,0.0170336429009808
CRIM,0.0593324554625689,0.0584583883283395,0.0008740671342293976,0.0008740671342293976
ZN,0.0576674030623905,0.0361330222336209,0.0215343808287696,0.0215343808287696
INDUS,0.0582115378336906,0.034842333748272,0.0233692040854186,0.0233692040854186
CHAS,0.0578959396663365,0.0376072011659984,0.020288738500338098,0.020288738500338098
NOX,0.0578959396663365,0.0694782407436367,-0.011582301077300204,0.011582301077300204
RM,0.0607363231725233,0.126049596633784,-0.0653132734612607,0.0653132734612607
AGE,0.0584400744376367,0.0610293397054561,-0.002589265267819399,0.002589265267819399
DIS,0.0583094820925246,0.062034366926681,-0.0037248848341564014,0.0037248848341564014
RAD,0.0580700627931526,0.0364291090913261,0.021640953701826497,0.021640953701826497
TAX,0.059593640152793,0.0528264826757911,0.006767157477001899,0.006767157477001899
PTRATIO,0.0599636517972771,0.0594279685313883,0.0005356832658887992,0.0005356832658887992
B,0.0582877167016726,0.0447654137188301,0.013522302982842502,0.013522302982842502
LSTAT,0.0598983556247211,0.0778770989326277,-0.0179787433079066,0.0179787433079066
